time;proto;src_ip;src_port;dst_ip;dst_port;flags;length
15:34:06.682717;IP;190-0-175-100.gba.solunet.com.ar;2551;184.107.43.74;80;S;120:
15:34:06.682733;IP;190-0-175-100.gba.solunet.com.ar;2552;184.107.43.74;80;S;120:
15:34:06.682749;IP;190-0-175-100.gba.solunet.com.ar;2553;184.107.43.74;80;S;120:
15:34:06.682765;IP;190-0-175-100.gba.solunet.com.ar;2554;184.107.43.74;80;S;120:
15:34:06.682782;IP;190-0-175-100.gba.solunet.com.ar;2555;184.107.43.74;80;S;120:
15:34:06.682798;IP;190-0-175-100.gba.solunet.com.ar;2556;184.107.43.74;80;S;120:
15:34:06.682814;IP;190-0-175-100.gba.solunet.com.ar;2557;184.107.43.74;80;S;120:
15:34:06.682832;IP;190-0-175-100.gba.solunet.com.ar;2558;184.107.43.74;80;S;120:
15:34:06.682848;IP;190-0-175-100.gba.solunet.com.ar;2559;184.107.43.74;80;S;120:
15:34:06.682865;IP;190-0-175-100.gba.solunet.com.ar;2560;184.107.43.74;80;S;120:
15:34:06.682881;IP;190-0-175-100.gba.solunet.com.ar;2561;184.107.43.74;80;S;120:
15:34:06.682898;IP;190-0-175-100.gba.solunet.com.ar;2562;184.107.43.74;80;S;120:
15:34:06.682915;IP;190-0-175-100.gba.solunet.com.ar;2563;184.107.43.74;80;S;120:
15:34:06.682931;IP;190-0-175-100.gba.solunet.com.ar;2564;184.107.43.74;80;S;120:
15:34:06.682947;IP;190-0-175-100.gba.solunet.com.ar;2565;184.107.43.74;80;S;120:
15:34:06.682964;IP;190-0-175-100.gba.solunet.com.ar;2566;184.107.43.74;80;S;120:
15:34:06.682980;IP;190-0-175-100.gba.solunet.com.ar;2567;184.107.43.74;80;S;120:
15:34:06.682997;IP;190-0-175-100.gba.solunet.com.ar;2568;184.107.43.74;80;S;120:
15:34:06.683013;IP;190-0-175-100.gba.solunet.com.ar;2569;184.107.43.74;80;S;120:
15:34:06.683038;IP;190-0-175-100.gba.solunet.com.ar;2570;184.107.43.74;80;S;120:
15:34:06.683058;IP;190-0-175-100.gba.solunet.com.ar;2571;184.107.43.74;80;S;120:
15:34:06.683077;IP;190-0-175-100.gba.solunet.com.ar;2572;184.107.43.74;80;S;120:
15:34:06.683096;IP;190-0-175-100.gba.solunet.com.ar;2573;184.107.43.74;80;S;120:
15:34:06.683115;IP;190-0-175-100.gba.solunet.com.ar;2574;184.107.43.74;80;S;120:
15:34:06.683131;IP;190-0-175-100.gba.solunet.com.ar;2575;184.107.43.74;80;S;120:
